time,hs300,netvalue
2016/1/1,3470.41,1.0000
2016/12/31,3297.76,1.2526
2017/3/31,3456.05,1.3604
2017/6/30,3666.80,1.7505
2017/9/30,3826.50,1.8337
2017/12/31,4030.85,2.5537
2018/3/31,3898.50,2.2861
2018/7/1,3510.98,2.2551
2018/9/30,3438.86,2.4767
2018/12/29,3010.65,1.9933
2019/3/31,3872.34,2.5042
2019/6/29,3825.59,3.2133
2019/9/30,3814.53,3.0777
2020/1/1,4096.88,3.2240
2020/4/6,3713.22,2.9209
2020/6/30,4163.96,3.6596
2020/9/30,4587.40,4.2449
2020/12/31,5211.29,5.9524
2021/3/31,5048.36,8.0883 
2021/7/2,5081.12,6.4965
2021/9/1, 5276.10,6.9158
2022/1/3,5143.84,7.1608
2022/3/16,4156.08,5.5762,
2022/7/10,4428.78,4.6943 
2022/10/23,3742.89,4.0947 
2023/1/8,3980.89,4.7254 
2023/4/8,4123.28,5.5352 
2023/7/1,3842.45,6.1993 